event_id|time|elapsed|dev|rts|seq|L|S|M|port|cancel|fanout|send_event_id|type
71|0.0|0.0|n_8_1|0|71|[]|{"spins": [-1, 1, 1, -1, -1], "rng": 907870052, "times": [1.5541, 1.81114, 0.432856, 0.213444, 0.322359], "spin": -1}||||||init
790|2.0|0.0|n_14_6|0|790|[]|{"spins": [1, 1, -1, 1, 1], "rng": 2224724130, "times": [0.657811, 0.8354, 0.448466, 1.21552, 0.819549], "spin": 1}||in|||787|recv
1213|4.0|0.0|n_8_9|0|1213|[]|{"spins": [-1, -1, -1, -1, 1], "rng": 697250257, "times": [1.81805, 0.544094, 1.09915, 1.73214, 0.851874], "spin": -1}||in|||1212|recv
1043|3.0|0.0|n_3_3|0|1043|[]|{"lastFlipTime": 0.505912, "spins": [1, 1, 1, 1, 1], "rng": 1374713201, "times": [1.64511, 1.36306, 1.20649, 1.7472, 3.71758], "spin": 1}||in|||1042|recv
444|0.0|0.0|n_13_14|0|444|[]|{"spins": [-1, -1, -1, -1, 1], "rng": 1934136065, "times": [0.797783, 0.209222, 1.5006, 2.35287, 1.26759], "spin": -1}||in|||442|recv
987|3.0|0.0|n_5_11|0|987|[]|{"lastFlipTime": 0.453853, "spins": [1, -1, -1, 1, 1], "rng": 630110904, "times": [2.37316, 0.681632, 0.993825, 1.81475, 2.63215], "spin": 1}|{"spin": 1, "time": 2.37316}|out|True|1||send
1092|3.0|0.0|n_5_0|0|1092|[]|{"lastFlipTime": 0.920343, "spins": [1, -1, 1, -1, 1], "rng": 1671697648, "times": [1.92624, 2.37178, 1.42217, 3.22032, 1.47701], "spin": 1}|{"spin": 1, "time": 1.92624}|out|True|1||send
855|2.0|0.0|n_11_15|0|855|[]|{"spins": [-1, -1, 1, -1, 1], "rng": 215315653, "times": [2.99309, 3.72617, 2.07215, 3.44538, 0.840847], "spin": -1}||in|||852|recv
194|0.0|0.0|n_2_8|0|194|[]|{"spins": [-1, -1, -1, 1, 1], "rng": 1275646046, "times": [1.21399, 0.35172, 0.531032, 0.412985, 0.966749], "spin": -1}||||||init
1232|4.0|0.0|n_15_13|0|1232|[]|{"spins": [-1, -1, 1, -1, 1], "rng": 624965647, "times": [2.64269, 1.40888, 1.26091, 4.29244, 2.31285], "spin": -1}|{"spin": 4294967295, "time": 2.64269}|out|True|1||send
6|0.0|0.0|n_13_6|0|6|[]|{"spins": [-1, 1, 1, 1, 1], "rng": 2354346836, "times": [0.601181, 1.03914, 0.657811, 0.089328, 2.37669], "spin": -1}||||||init
376|0.0|0.0|n_8_13|1|376|[]|{"spins": [-1, 1, -1, -1, -1], "rng": 3585495492, "times": [0.180547, 3.23888, 1.93417, 0.832398, 0.336384], "spin": -1, "rts": 1}||in|||372|recv
22|0.0|0.0|n_6_7|0|22|[]|{"spins": [1, 1, 1, -1, -1], "rng": 1692513556, "times": [0.931229, 0.228375, 0.343659, 0.565645, 0.988281], "spin": 1}||||||init
567|1.0|0.0|n_6_3|0|567|[]|{"lastFlipTime": 0.602701, "spins": [1, 1, 1, -1, -1], "rng": 3339799163, "times": [0.854235, 1.59683, 0.653618, 1.60511, 0.691183], "spin": 1}|{"spin": 1, "time": 0.854235}|out|True|1||send
1125|3.0|0.0|n_14_15|0|1125|[]|{"spins": [-1, -1, 1, -1, -1], "rng": 984410171, "times": [1.47316, 1.5006, 2.20646, 0.941385, 2.35287], "spin": -1}||in|||1122|recv
968|3.0|0.0|n_7_15|1|968|[]|{"lastFlipTime": 0.0247234, "spins": [-1, -1, 1, 1, -1], "spin": -1, "rts": 1, "rng": 2724023458, "times": [0.568542, 1.41307, 2.06096, 1.1885, 0.918344]}||in|||967|recv
512|1.0|0.0|n_4_7|0|512|[]|{"lastFlipTime": 0.290857, "spins": [-1, -1, -1, -1, -1], "rng": 932507167, "times": [1.81818, 0.561234, 0.988281, 0.662919, 0.449407], "spin": -1}|{"spin": 4294967295, "time": 1.81818}|out|True|1||send
568|1.0|0.0|n_7_3|0|568|[]|{"spins": [1, -1, 1, 1, 1], "rng": 2234071534, "times": [0.653618, 1.44413, 0.44181, 0.34656, 0.854235], "spin": 1}||in|||567|recv
164|0.0|0.0|n_14_13|0|164|[]|{"spins": [1, -1, -1, -1, -1], "rng": 425111708, "times": [2.31285, 0.292212, 0.148708, 1.5006, 0.209222], "spin": 1}||||||init
960|3.0|0.0|n_5_3|0|960|[]|{"lastFlipTime": 0.691183, "spins": [1, 1, 1, -1, 1], "rng": 3607054585, "times": [0.865735, 2.35909, 2.23429, 2.91204, 0.715127], "spin": 1}||in|||957|recv
110|0.0|0.0|n_3_8|0|110|[]|{"spins": [-1, -1, -1, 1, -1], "rng": 2525431825, "times": [0.531032, 0.449407, 0.662919, 0.0750937, 1.21399], "spin": -1}||||||init
154|0.0|0.0|n_9_4|0|154|[]|{"spins": [-1, 1, -1, 1, -1], "rng": 2531341770, "times": [0.528694, 1.12419, 0.835426, 0.862486, 0.129253], "spin": -1}||||||init
211|0.0|0.0|n_9_14|0|211|[]|{"spins": [-1, -1, -1, 1, 1], "rng": 1569375528, "times": [1.00677, 1.93417, 0.606359, 0.628775, 0.0677639], "spin": -1}||||||init
1137|4.0|0.0|n_10_15|0|1137|[]|{"spins": [1, -1, -1, 1, 1], "rng": 19191556, "times": [6.25158, 6.57664, 2.99309, 2.77003, 1.02367], "spin": 1}|{"spin": 1, "time": 6.25158}|out|True|1||send
1124|3.0|0.0|n_15_0|0|1124|[]|{"spins": [-1, 1, -1, -1, -1], "rng": 1403475711, "times": [1.11849, 2.20646, 1.2781, 1.73188, 0.941385], "spin": -1}||in|||1122|recv
763|2.0|0.0|n_4_14|0|763|[]|{"spins": [1, -1, 1, 1, -1], "rng": 25346796, "times": [5.13255, 2.0757, 2.04019, 1.81767, 1.96903], "spin": 1}||in|||762|recv
